Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,Lng,Y/A,Y/G,Fmb
Jason McKie,CHI,24,FB,15,2,1,1,0,0,1,1.0,0.1,1
Moran Norris,HOU,26,FB,12,4,1,0,0,0,0,0.0,0.0,0
David Patten,NWE,30,WR,16,11,1,5,0,0,5,5.0,0.3,0
Willie Ponder,NYG,24,WR,11,0,1,-4,0,0,-4,-4.0,-0.4,1
Jerry Porter,OAK,26,WR,16,16,1,-4,0,0,-4,-4.0,-0.3,2
Ricky Proehl,CAR,36,WR,16,3,1,9,0,0,9,9.0,0.6,0
Koren Robinson,SEA,24,WR,10,8,1,3,0,0,3,3.0,0.3,0
Bobby Shaw,2TM,29,WR,11,0,1,1,0,0,1,1.0,0.1,0
Reggie Swinton,DET,29,WR,13,1,1,3,0,0,3,3.0,0.2,1
Jamaar Taylor,NYG,23,WR,8,0,1,-8,0,0,-8,-8.0,-1.0,0
Dedric Ward,DAL,30,WR,8,0,1,11,0,1,11,11.0,1.4,1
Kelley Washington,CIN,25,WR,16,2,1,-1,0,0,-1,-1.0,-0.1,0
Reggie Wayne,IND,26,WR,16,16,1,-4,0,0,-4,-4.0,-0.3,0
Randal Williams,DAL,26,WR,2,2,1,13,0,1,13,13.0,6.5,0
Roy Williams,DET,23,WR,14,12,1,1,0,0,1,1.0,0.1,1
Cedrick Wilson,SFO,26,WR,15,15,1,6,0,1,6,6.0,0.4,0
